Date,Description,Amount,Balance
12/15/2017 01:13PM,PIT McConnell 1 - Board,-1,0
12/15/2017 09:57AM,PIT McConnell 1 - Board,-1,1
12/14/2017 06:07PM,PIT McConnell 1 - Board,-1,2
12/14/2017 01:03PM,PIT McConnell 1 - Board,-1,3
12/14/2017 09:04AM,PIT McConnell 1 - Board,-1,4
12/13/2017 05:53PM,POM Frary 1 - Board,-1,5
12/13/2017 12:56PM,PIT McConnell 2 - Board,-1,6
12/13/2017 09:58AM,PIT McConnell 2 - Board,-1,7
12/12/2017 06:14PM,POM Frary 1 - Board,-1,8
12/12/2017 01:28PM,POM Frary 1 - Board,-1,9
12/12/2017 09:48AM,PIT McConnell 1 - Board,-1,10
12/11/2017 06:00PM,POM Frary 1 - Board,-1,11
12/11/2017 12:04PM,PIT McConnell 1 - Board,-1,12
12/11/2017 08:07AM,PIT McConnell 1 - Board,-1,13
12/10/2017 05:48PM,PIT McConnell 1 - Board,-1,14
12/10/2017 11:24AM,PIT McConnell 2 - Board,-1,15
12/09/2017 10:51AM,PIT McConnell 2 - Board,-1,1
12/08/2017 05:52PM,CMC Collins 2 - Board,-1,2
12/08/2017 11:22AM,PIT McConnell 2 - Board,-1,3
12/07/2017 06:18PM,PIT McConnell 1 - Board,-1,4
12/07/2017 01:09PM,PIT McConnell 1 - Board,-1,5
12/07/2017 08:21AM,PIT McConnell 2 - Board,-1,6
12/06/2017 12:34PM,PIT McConnell 1 - Board,-1,7
12/05/2017 06:17PM,PIT McConnell 2 - Board,-1,8
12/05/2017 12:28PM,PIT McConnell 1 - Board,-1,9
12/05/2017 09:34AM,PIT McConnell 1 - Board,-1,10
12/04/2017 05:56PM,POM Frary 1 - Board,-1,11
12/04/2017 12:07PM,PIT McConnell 1 - Board,-1,12
12/04/2017 08:15AM,PIT McConnell 1 - Board,-1,13
12/03/2017 05:01PM,PIT McConnell 2 - Board,-1,14
12/03/2017 11:03AM,PIT McConnell 2 - Board,-1,15
12/02/2017 06:23PM,PIT McConnell 2 - Board,-1,1
12/02/2017 10:52AM,PIT McConnell 2 - Board,-1,2
12/01/2017 05:48PM,POM Frary 1 - Board,-1,3
12/01/2017 11:19AM,PIT McConnell 2 - Board,-1,4
11/30/2017 06:19PM,PIT McConnell 1 - Board,-1,5
11/30/2017 12:36PM,POM Frary 1 - Board,-1,6
11/30/2017 08:38AM,PIT McConnell 1 - Board,-1,7
11/29/2017 06:03PM,PIT McConnell 1 - Board,-1,8
11/29/2017 12:30PM,POM Frary 2 - Board,-1,9
11/29/2017 08:29AM,PIT McConnell 2 - Board,-1,10
11/28/2017 05:17PM,PIT McConnell 2 - Board,-1,11
11/28/2017 12:12PM,PIT McConnell 1 - Board,-1,12
11/28/2017 09:50AM,PIT McConnell 1 - Board,-1,13
11/27/2017 06:17PM,PIT McConnell 2 - Board,-1,14
11/27/2017 12:21PM,PIT McConnell 1 - Board,-1,15
11/20/2017 12:24PM,CMC Collins 1 - Board,-1,13
11/20/2017 08:04AM,PIT McConnell 2 - Board,-1,14
11/19/2017 06:23PM,PIT McConnell 2 - Board,-1,15
11/16/2017 07:29AM,POM Frary 1 - Board,-1,4
11/15/2017 05:54PM,POM Frary 1 - Board,-1,5
11/15/2017 12:05PM,PIT McConnell 1 - Board,-1,6
11/15/2017 08:46AM,PIT McConnell 2 - Board,-1,7
11/14/2017 05:57PM,CMC Collins 2 - Board,-1,8
11/14/2017 12:29PM,CMC Collins 2 - Board,-1,9
11/14/2017 08:20AM,PIT McConnell 2 - Board,-1,10
11/13/2017 06:12PM,CMC Collins 2 - Board,-1,11
11/13/2017 12:16PM,PIT McConnell 1 - Board,-1,12
11/13/2017 08:07AM,PIT McConnell 1 - Board,-1,13
11/12/2017 06:07PM,PIT McConnell 1 - Board,-1,14
11/12/2017 10:31AM,POM Frary 1 - Board,-1,15
11/11/2017 11:40AM,POM Frary 1 - Board,-1,0
11/10/2017 05:53PM,POM Frary 1 - Board,-1,1
11/10/2017 12:11PM,PIT McConnell 2 - Board,-1,2
11/09/2017 05:57PM,PIT McConnell 2 - Board,-1,3
11/09/2017 12:19PM,PIT McConnell 1 - Board,-1,4
11/09/2017 09:02AM,PIT McConnell 1 - Board,-1,5
11/08/2017 05:49PM,PIT McConnell 1 - Board,-1,6
11/08/2017 12:04PM,PIT McConnell 1 - Board,-1,7
11/08/2017 08:33AM,POM Frary 1 - Board,-1,8
11/07/2017 06:11PM,CMC Collins 2 - Board,-1,9
11/07/2017 12:22PM,PIT McConnell 1 - Board,-1,10
11/07/2017 07:43AM,PIT McConnell 2 - Board,-1,11
11/06/2017 06:20PM,PIT McConnell 2 - Board,-1,12
11/06/2017 12:10PM,PIT McConnell 1 - Board,-1,13
11/06/2017 08:06AM,PIT McConnell 1 - Board,-1,14
11/05/2017 10:35AM,PIT McConnell 2 - Board,-1,15
11/04/2017 05:01PM,PIT McConnell 2 - Board,-1,1
11/04/2017 12:06PM,PIT McConnell 2 - Board,-1,2
11/03/2017 06:13PM,POM Frary 1 - Board,-1,3
11/03/2017 12:57PM,PIT McConnell 1 - Board,-1,4
11/02/2017 06:25PM,PIT McConnell 1 - Board,-1,5
11/02/2017 12:34PM,PIT McConnell 1 - Board,-1,6
11/01/2017 06:17PM,POM Frary 1 - Board,-1,7
11/01/2017 01:06PM,PIT McConnell 1 - Board,-1,8
10/31/2017 06:28PM,CMC Collins 2 - Board,-1,9
10/31/2017 12:26PM,PIT McConnell 1 - Board,-1,10
10/31/2017 08:20AM,PIT McConnell 2 - Board,-1,11
10/30/2017 06:33PM,POM Frary 1 - Board,-1,12
10/30/2017 12:15PM,PIT McConnell 1 - Board,-1,13
10/30/2017 07:56AM,PIT McConnell 1 - Board,-1,14
10/29/2017 11:09AM,PIT McConnell 2 - Board,-1,15
10/28/2017 06:10PM,PIT McConnell 2 - Board,-1,0
10/28/2017 12:21PM,POM Frary 1 - Board,-1,1
10/27/2017 12:09PM,PIT McConnell 1 - Board,-1,2
10/27/2017 08:31AM,PIT McConnell 2 - Board,-1,3
10/26/2017 05:54PM,POM Frary 1 - Board,-1,4
10/26/2017 01:13PM,PIT McConnell 2 - Board,-1,5
10/26/2017 07:55AM,PIT McConnell 2 - Board,-1,6
10/25/2017 12:16PM,PIT McConnell 2 - Board,-1,7
10/25/2017 08:14AM,PIT McConnell 2 - Board,-1,8
10/24/2017 12:26PM,POM Frary 2 - Board,-1,9
10/24/2017 08:34AM,PIT McConnell 2 - Board,-1,10
10/23/2017 06:33PM,PIT McConnell 2 - Board,-1,11
10/23/2017 12:03PM,POM Frary 2 - Board,-1,12
10/23/2017 07:51AM,PIT McConnell 1 - Board,-1,13
10/22/2017 06:24PM,POM Frary 2 - Board,-1,14
10/22/2017 10:28AM,POM Frary 1 - Board,-1,15
10/21/2017 08:43PM,POM Frary 1 - Board,-1,4
10/21/2017 10:34AM,PIT McConnell 2 - Board,-1,5
10/20/2017 06:14PM,POM Frary 2 - Board,-1,6
10/20/2017 12:06PM,PIT McConnell 1 - Board,-1,7
10/19/2017 06:05PM,PIT McConnell 1 - Board,-1,8
10/19/2017 12:33PM,POM Frary 1 - Board,-1,9
10/18/2017 06:09PM,PIT McConnell 1 - Board,-1,10
10/18/2017 12:20PM,PIT McConnell 1 - Board,-1,11
10/18/2017 08:36AM,PIT McConnell 2 - Board,-1,12
10/17/2017 06:30PM,CMC Collins 2 - Board,-1,13
10/17/2017 11:22AM,POM Frary 1 - Board,-1,14
10/16/2017 06:32PM,POM Frary 1 - Board,-1,15
10/11/2017 06:31PM,POM Frary 1 - Board,-1,5
10/11/2017 12:17PM,PIT McConnell 2 - Board,-1,6
10/11/2017 08:26AM,PIT McConnell 1 - Board,-1,7
10/10/2017 06:41PM,POM Frary 1 - Board,-1,8
10/10/2017 12:11PM,SCR Malott Commons 2 - Board,-1,9
10/10/2017 08:14AM,PIT McConnell 1 - Board,-1,10
10/09/2017 06:21PM,POM Frary 1 - Board,-1,11
10/09/2017 12:38PM,PIT McConnell 1 - Board,-1,12
10/09/2017 08:30AM,POM Frary 1 - Board,-1,13
10/08/2017 06:23PM,PIT McConnell 1 - Board,-1,14
10/08/2017 09:04AM,POM Frary 1 - Board,-1,15
10/07/2017 06:19PM,PIT McConnell 2 - Board,-1,1
10/07/2017 11:01AM,POM Frary 1 - Board,-1,2
10/06/2017 12:03PM,PIT McConnell 1 - Board,-1,3
10/05/2017 06:30PM,CMC Collins 2 - Board,-1,4
10/05/2017 01:31PM,POM Frary 2 - Board,-1,5
10/04/2017 06:10PM,POM Frary 1 - Board,-1,6
10/04/2017 01:19PM,PIT McConnell 1 - Board,-1,7
10/03/2017 06:09PM,CMC Collins 2 - Board,-1,8
10/03/2017 12:43PM,CMC Collins 1 - Board,-1,9
10/03/2017 08:50AM,POM Frary 1 - Board,-1,10
