Date,Description,Amount,Balance
12/15/2017 01:10PM,PIT Stop Cafe - Charge,-3.50,0.05
12/13/2017 12:56PM,PIT McConnell 2 - Charge,-5.00,3.55
12/12/2017 09:48AM,PIT McConnell 1 - Charge,-4.00,8.55
12/11/2017 06:14PM,POM Frary 1 - Charge,-6.25,12.55
12/11/2017 11:53AM,PIT Stop Cafe - Charge,-3.95,18.80
12/08/2017 08:25AM,PIT McConnell 1 - Charge,-4.00,22.75
12/06/2017 09:46AM,PIT McConnell 2 - Charge,-4.00,26.75
11/20/2017 12:24PM,CMC Collins 1 - Charge,-5.00,30.75
11/16/2017 07:29AM,POM Frary 1 - Charge,-4.00,35.75
11/11/2017 05:57PM,PIT McConnell 2 - Charge,-6.25,39.75
11/11/2017 11:41AM,POM Frary 1 - Charge,-5.00,46.00
11/10/2017 08:05AM,PIT McConnell 1 - Charge,-4.00,51.00
11/08/2017 08:33AM,POM Frary 1 - Charge,-4.00,55.00
11/03/2017 08:24AM,PIT McConnell 1 - Charge,-4.00,59.00
11/02/2017 08:26AM,PIT McConnell 2 - Charge,-4.00,63.00
11/01/2017 08:07AM,PIT McConnell 2 - Charge,-4.00,67.00
10/20/2017 09:21AM,PIT McConnell 1 - Charge,-4.00,71.00
10/19/2017 12:33PM,POM Frary 1 - Charge,-5.00,75.00
10/19/2017 09:18AM,PIT McConnell 2 - Charge,-4.00,80.00
10/06/2017 08:14AM,PIT McConnell 1 - Charge,-4.00,84.00
10/05/2017 08:32AM,PIT McConnell 1 - Charge,-4.00,88.00
10/04/2017 08:16AM,PIT McConnell 1 - Charge,-4.00,92.00
9/25/2017 12:22PM,CMC Collins 1 - Charge,-5.00,96.00
9/22/2017 07:51AM,PIT McConnell 1 - Charge,-4.00,101.00
9/21/2017 12:39PM,PIT McConnell 1 - Charge,-5.00,105.00
9/21/2017 08:35AM,POM Frank 1 - Charge,-4.00,110.00
9/20/2017 09:13AM,PIT McConnell 1 - Charge,-4.00,114.00
9/15/2017 08:38AM,PIT McConnell 1 - Charge,-4.00,118.00
9/14/2017 08:43AM,POM Frary 1 - Charge,-4.00,122.00
9/09/2017 11:04AM,PIT McConnell 2 - Charge,-10.00,126.00
9/08/2017 07:44AM,PIT McConnell 1 - Charge,-4.00,136.00
9/07/2017 08:33AM,PIT McConnell 1 - Charge,-4.00,140.00
8/31/2017 08:33AM,POM Frary 1 - Charge,-4.00,144.00
8/30/2017 08:18AM,POM Frary 1 - Charge,-4.00,148.00
8/29/2017 08:50AM,POM Frary 1 - Charge,-4.00,152.00
8/29/2017 08:50AM,POM Frary 1 - Charge,-4.00,156.00
8/26/2017 07:02PM,BBTSCUC - Payment,160.00,160.00
